"","Date","Open","High","Low","Close","Adj.Close","Volume","Price","Price_1","Price_2","Price_3","Price_4","Price_5","SMA_5","SMA_10","SMA_50","tr","tr2","tr3","tr4","tr5"
"1212",2018-02-20,7209.029785,7295.950195,7206,7234.310059,7234.310059,1911170000,7234.310059,7218.22998,7210.089844,7337.390137,7421.459961,7330.350098,7284.2959962,7279.3979982,0,7239.470215,7256.430176,7143.620117,7013.509766,6981.959961
"1211",2018-02-16,7236.509766,7303.259766,7226.379883,7239.470215,7239.470215,2019830000,7239.470215,7234.310059,7218.22998,7210.089844,7337.390137,7421.459961,7247.898047,7270.2740236,7211.45879888,7256.430176,7143.620117,7013.509766,6981.959961,6874.490234
"1210",2018-02-15,7200.75,7256.930176,7130.390137,7256.430176,7256.430176,2110700000,7256.430176,7239.470215,7234.310059,7218.22998,7210.089844,7337.390137,7231.7060548,7270.1300295,7215.262002,7143.620117,7013.509766,6981.959961,6874.490234,6777.160156
"1209",2018-02-14,6979.240234,7152.049805,6977.069824,7143.620117,7143.620117,2211460000,7143.620117,7256.430176,7239.470215,7234.310059,7218.22998,7210.089844,7218.4121094,7266.4360353,7215.73840824,7013.509766,6981.959961,6874.490234,6777.160156,7051.97998
"1208",2018-02-13,6942.160156,7025.680176,6938.160156,7013.509766,7013.509766,1816670000,7013.509766,7143.620117,7256.430176,7239.470215,7234.310059,7218.22998,7177.4680666,7240.4860353,7213.63500004,6981.959961,6874.490234,6777.160156,7051.97998,7115.879883
"1207",2018-02-12,6936.680176,7023.620117,6879.689941,6981.959961,6981.959961,2240420000,6981.959961,7013.509766,7143.620117,7256.430176,7239.470215,7234.310059,7126.998047,7205.6470216,7213.19939458,6874.490234,6777.160156,7051.97998,7115.879883,6967.529785
"1206",2018-02-09,6863.339844,6917.009766,6630.669922,6874.490234,6874.490234,3155990000,6874.490234,6981.959961,7013.509766,7143.620117,7256.430176,7239.470215,7054.0020508,7150.9500489,7210.5421973,6777.160156,7051.97998,7115.879883,6967.529785,7240.950195
"1205",2018-02-08,7067.299805,7073.990234,6776.77002,6777.160156,6777.160156,2707700000,6777.160156,6874.490234,6981.959961,7013.509766,7143.620117,7256.430176,6958.1480468,7094.9270508,7203.51339846,7051.97998,7115.879883,6967.529785,7240.950195,7385.859863
"1204",2018-02-07,7086.200195,7170.339844,7051.529785,7051.97998,7051.97998,2366970000,7051.97998,6777.160156,6874.490234,6981.959961,7013.509766,7143.620117,6939.8200194,7079.1160644,7201.6304004,7115.879883,6967.529785,7240.950195,7385.859863,7411.47998
"1203",2018-02-06,6837.560059,7126.549805,6824.819824,7115.879883,7115.879883,3131030000,7115.879883,7051.97998,6777.160156,6874.490234,6981.959961,7013.509766,6960.2940428,7068.8810547,7199.18679688,6967.529785,7240.950195,7385.859863,7411.47998,7402.47998
"1202",2018-02-05,7165.959961,7277.359863,6967.529785,6967.529785,6967.529785,3106870000,6967.529785,7115.879883,7051.97998,6777.160156,6874.490234,6981.959961,6957.4080076,7042.2030273,7192.6325879,7240.950195,7385.859863,7411.47998,7402.47998,7466.509766
"1201",2018-02-02,7347.589844,7364.430176,7238.180176,7240.950195,7240.950195,2587770000,7240.950195,6967.529785,7115.879883,7051.97998,6777.160156,6874.490234,7030.6999998,7042.3510253,7191.82958984,7385.859863,7411.47998,7402.47998,7466.509766,7505.77002
"1200",2018-02-01,7377.169922,7441.089844,7362.279785,7385.859863,7385.859863,2291680000,7385.859863,7240.950195,6967.529785,7115.879883,7051.97998,6777.160156,7152.4399412,7055.293994,7196.4211914,7411.47998,7402.47998,7466.509766,7505.77002,7411.160156
"1199",2018-01-31,7443.25,7453.990234,7381.120117,7411.47998,7411.47998,2407540000,7411.47998,7385.859863,7240.950195,6967.529785,7115.879883,7051.97998,7224.3399412,7082.0799803,7202.51779296,7402.47998,7466.509766,7505.77002,7411.160156,7415.060059
"1198",2018-01-30,7388.890137,7433.649902,7373.990234,7402.47998,7402.47998,2163980000,7402.47998,7411.47998,7385.859863,7240.950195,6967.529785,7115.879883,7281.6599606,7120.9770017,7207.76239256,7466.509766,7505.77002,7411.160156,7415.060059,7460.290039
"1197",2018-01-29,7484.470215,7500.609863,7455.549805,7466.509766,7466.509766,2103380000,7466.509766,7402.47998,7411.47998,7385.859863,7240.950195,6967.529785,7381.4559568,7169.43198220001,7215.71199218,7505.77002,7411.160156,7415.060059,7460.290039,7408.029785
